Bloc,Rubrique,Nom du champ,Type,Longueur,Obligatoire,Nomenclature,Description,Commentaire
S21.G00.22 - Bordereau de cotisation due,S21.G00.22.005,Montant total de cotisations,Numeric,4-18,Oui,,"Montant total de toutes les cotisations dues à un organisme de protection sociale.

Modalité de valorisation :

- AGIRC-ARRCO : non concerné
- Caisses de congés payés (CIBTP, Transport et Manutention portuaire) : non concerné 
- CAMIEG : montant (pour régularisation des périodes antérieures à 2020 pour le régime général et antérieures à 2021 pour le régime agricole)
- CCVRP : non concerné
- CNIEG : montant (pour régularisation des périodes antérieures à 2022)
- Congés spectacles (AUDIENS) : non concerné
- CRPCEN : montant (pour corriger des périodes antérieures à 2023)
- CRPNPAC : montant
- Organisme complémentaire : non concerné
- DGFiP : non concerné
- IRCANTEC : non concerné
- MSA : non concerné
- Pôle emploi : non concerné
- Urssaf : montant, arrondi à l'entier le plus proche (les deux décimales étant valorisées à zéro)
- CNRACL : non concerné
- RAFP : non concerné
- FSPOEIE : non concerné
- RAEP : non concerné
- SRE : non concerné
- CNBF : non concerné",CotisationBordereau.Montant
S21.G00.22 - Bordereau de cotisation due,S21.G00.22.006,Identifiant du CRM à l'origine de la régularisation,Alphanumeric,1-18,Conditionnel,,Il s'agit de l'identifiant du CRM (compte rendu métier) transmis par l'organisme demandeur de la régularisation ou de la correction.,CotisationBordereau.IdentifiantCRM
S21.G00.23 - Cotisation agrégée,S21.G00.23.001,Code de cotisation,ExternalReferential,3-3,Oui,,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.Identifiant
S21.G00.23 - Cotisation agrégée,S21.G00.23.002,Qualifiant d'assiette,Enumeration,3-3,Oui,DSN_Qualifiant_Assiette,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.QualifiantAssiette
S21.G00.23 - Cotisation agrégée,S21.G00.23.003,Taux de cotisation,Numeric,4-6,Conditionnel,,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.Taux
S21.G00.23 - Cotisation agrégée,S21.G00.23.004,Montant d'assiette,Numeric,4-18,Conditionnel,,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.MontantAssiette
S21.G00.23 - Cotisation agrégée,S21.G00.23.005,Montant de cotisation,Numeric,4-18,Conditionnel,,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.MontantCotisation
S21.G00.23 - Cotisation agrégée,S21.G00.23.006,Code INSEE commune,ExternalReferential,5-5,Conditionnel,,"Se référer au paragraphe 2.2.1.5.Bloc ""Cotisation agrégée"" (S21.G00.23) de la partie introductive.",CotisationAgregee.CodeINSEEcommune
S21.G00.23 - Cotisation agrégée,S21.G00.23.007,Identifiant du CRM à l'origine de la régularisation,Alphanumeric,1-18,Conditionnel,,Il s'agit de l'identifiant du CRM (compte rendu métier) transmis par l'organisme demandeur de la régularisation ou de la correction.,CotisationAgregee.IdentifiantCRM
S21.G00.44 - Assujettissement fiscal,S21.G00.44.001,Code taxe,Enumeration,3-3,Oui,DSN_Code_Taxe,,AssujettissementFiscal.CodeTaxe
S21.G00.44 - Assujettissement fiscal,S21.G00.44.002,Montant,Numeric,4-16,Conditionnel,,Ce montant permet d'établir l'assiette de certaines taxes fiscales qui relèvent de la responsabilité du redevable (auto-liquidation).,AssujettissementFiscal.Montant
S21.G00.44 - Assujettissement fiscal,S21.G00.44.003,Millésime de rattachement,Numeric,4-4,Oui,,"Année au titre de laquelle le bloc ""Assujettissement fiscal - S21.G00.44"" est souscrit.",AssujettissementFiscal.Millesime
S21.G00.44 - Assujettissement fiscal,S21.G00.44.004,Motif de non assujettissement à la taxe d'apprentissage,ExternalReferential,3-3,Conditionnel,,,AssujettissementFiscal.MotifNonAssujettis
S21.G00.30 - Individu,S21.G00.30.001,Numéro d'inscription au répertoire,Alphanumeric,13-13,Conditionnel,,"Le numéro d'inscription au répertoire (NIR) est l'identifiant unique et invariable des individus inscrits au répertoire national d'identification des personnes physiques (RNIPP). Ce numéro correspond au numéro de sécurité sociale.
Ce numéro est composé de 13 chiffres et d'une clé de 2 chiffres. La clé n'est pas à déclarer dans cette rubrique.
Cette rubrique permet la déclaration du NIA (numéro d'immatriculation d'attente attribué par les organismes de protection sociale) en l'absence de NIR. Le NIA est constitué comme un NIR dans l'attente d'être certifié (circulaire DSS/sd4c N° 2012-213 du 1er juin 2012).
Le Nir doit avoir la forme SAAMMDDCCCNNN avec :
S = sexe de la personne physique doit être égal à 1 ou 2
AA = année de naissance de la personne physique doit être comprise entre 00 et 99
MM = mois de naissance de la personne physique doit être compris entre 01 et 12 ou entre 30 et 42 ou entre 50 et 99 ou égal à 20
DD = département de naissance de la personne physique doit être compris entre 01 et 99 ou être égal à 2A ou 2B
CCC = commune de naissance de la personne physique doit être comprise entre 001 et 999
NNN = numéro d'inscription la personne physique au registre d'état civil doit être compris entre 001 et 999

ATTENTION : Un NIR ne peut être présent qu'une seule fois dans la déclaration, il doit être unique pour permettre la traçabilité et l'identification de l'individu.

Si l'immatriculation est provisoire, ne pas utiliser les numéros provisoires reconnaissables par leur premier caractère égal à 7 ou 8, mais utiliser le NIA qui a été notifié.
En l'absence de NIR ou de NIA, il est obligatoire de remplir la rubrique Numéro technique temporaire (S21.G00.30.020).",Individu.Identifiant
S21.G00.30 - Individu,S21.G00.30.002,Nom de famille,Alphanumeric,1-80,Oui,,"Le nom de famille est le nom défini pour chaque individu dans les jours qui suivent sa naissance. Il est usuellement défini sur la base de la filiation avec l’un ou l’autre parent, voire les deux. Il peut être défini par disposition administrative ou judiciaire.",Individu.NomFamille
S21.G00.30 - Individu,S21.G00.30.003,Nom d'usage,Alphanumeric,1-80,Conditionnel,,Il s’agit de la possibilité pour une personne de porter un nom qu’elle n’a pas acquis selon les règles d’acquisition du nom de famille.,Individu.NomUsage
S21.G00.30 - Individu,S21.G00.30.004,Prénoms,Alphanumeric,1-80,Oui,,Elément d'identification joint au nom de famille qui permet de distinguer les personnes d'une même famille.,Individu.Prenoms
S21.G00.30 - Individu,S21.G00.30.005,Sexe,Enumeration,2-2,Conditionnel,DSN_Sexe,"Le sexe décrit la qualité d'homme ou la qualité de femme.
Il est à renseigner si différent du sexe porté par le NIR ou si le NIR est absent en cas d'identification par un NTT",Individu.Sexe
S21.G00.30 - Individu,S21.G00.30.006,Date de naissance,Alphanumeric,8-8,Oui,,"Instant où une personne naît, tel qu'enregistré à l'état civil.
Renseigner la date de naissance du salarié sous la forme JJMMAAAA. 
- L'année de naissance est obligatoire :
- Jour de naissance inconnu : 99MMAAAA,
- Mois de naissance Inconnu : JJ99AAAA,
- Si jour et mois inconnus : 9999AAAA.",Individu.DateNaissance
S21.G00.30 - Individu,S21.G00.30.007,Lieu de naissance,Alphanumeric,1-30,Conditionnel,,"Il s’agit du nom de la localité de naissance, tel qu’enregistré à l’état civil.
Libellé en toutes lettres. Obligatoire pour les salariés nés en France métropolitaine, dans les DOM et dans les TOM.",Individu.LieuNaissance
S21.G00.30 - Individu,S21.G00.30.008,"Numéro, extension, nature et libellé de la voie",Alphanumeric,1-50,Conditionnel,,"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)
Libellé de la voie : Appellation officielle de la voie",Individu.Voie
S21.G00.30 - Individu,S21.G00.30.009,Code postal,ExternalReferential,5-5,Conditionnel,,Il s’agit de données d’organisation postale qui doivent être utilisées en l’état. Le code postal est composé de 5 chiffres. Les codes CEDEX ne sont pas admis.,Individu.CodePostal
S21.G00.30 - Individu,S21.G00.30.010,Localité,Alphanumeric,1-50,Conditionnel,,La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.,Individu.Localite
S21.G00.30 - Individu,S21.G00.30.011,Code pays,ExternalReferential,2-2,Conditionnel,,"Nom du pays (territoire d’un état) de résidence du salarié exprimé sous la forme d’un code.
Le code pays ne doit pas être renseigné pour les adresses relevant du système postal français.
Le domaine d'application du système postal français est constitué des territoires suivants :
FR : France métropolitaine
GP : Guadeloupe
BL : Saint Barthélémy
MF : Saint Martin
MQ : Martinique
GF : Guyane Française
RE : Ile de la Réunion
PM : Saint Pierre et Miquelon
YT : Mayotte
WF : Wallis et Futuna
PF : Polynésie Française
NC : Nouvelle Calédonie
MC : Monaco",Individu.CodePays
S21.G00.30 - Individu,S21.G00.30.012,Code de distribution à l'étranger,Alphanumeric,1-50,Conditionnel,,,Individu.CodeDistribution
S21.G00.30 - Individu,S21.G00.30.013,Codification UE,Enumeration,2-2,Oui,DSN_Codification_UE,"Classification de l’origine du salarié au vu des frontières françaises et des limites de l’Union Européenne.
Il faut renseigner dans cette rubrique le code le plus précis applicable à l'individu.",Individu.CodificationUE
S21.G00.30 - Individu,S21.G00.30.014,Code département de naissance,Alphanumeric,2-2,Oui,,"Pour les salariés nés en France : code 01 à 97 ou 2A ou 2B
Pour les salariés nés dans les TOM : code 98
Pour les personnes nées à l'étranger, renseigner 99",Individu.DepartementNaissance
S21.G00.30 - Individu,S21.G00.30.015,Code pays de naissance,ExternalReferential,2-2,Oui,,"Le Code pays de naissance est à déterminer dans la table ""Codes Pays"" ISO 3166-1-A2.",Individu.PaysNaissance
S21.G00.30 - Individu,S21.G00.30.016,Complément de la localisation de la construction,Alphanumeric,1-50,Conditionnel,,"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.",Individu.ComplementConstruction
S21.G00.30 - Individu,S21.G00.30.017,"Service de distribution, complément de localisation de la voie",Alphanumeric,1-50,Conditionnel,,Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste.,Individu.ComplementVoie
S21.G00.30 - Individu,S21.G00.30.018,Adresse mél,Alphanumeric,6-100,Conditionnel,,Adresse mél personnelle ou professionnelle de l'individu. Le renseignement de cette rubrique est conditionné à l'accord explicite de ce dernier.,Individu.Mel
S21.G00.30 - Individu,S21.G00.30.019,Matricule de l'individu dans l'entreprise,Alphanumeric,1-30,Conditionnel,,Le choix de la valeur que prend le matricule revient à l’employeur.,Individu.Matricule
S21.G00.30 - Individu,S21.G00.30.020,Numéro technique temporaire,Alphanumeric,11-40,Conditionnel,,"Le NTT est un identifiant technique unique et invariant permettant à l'employeur de déclarer, dans un temps limité, un individu pour lequel il n'aurait pas connaissance du Numéro d'Inscription au Répertoire ou du Numéro d'Identification d'Attente au moment de l'émission d'une DSN.
Il est composé du code sexe de la personne physique qui doit être égal à 1 ou 2, suivi du SIREN de l'entreprise et d'un identifiant unique et pérenne de l'individu dans l'entreprise, comme le Matricule du salarié dans l'entreprise par exemple. Il ne peut pas contenir de caractères ""espace"". Il s'agit d'une donnée technique destinée au système d'information DSN uniquement. Le NTT n'est pas une donnée de gestion et ne permet pas l'ouverture des droits de l'individu auprès des organismes de protection sociale.
Le NTT doit désigner un individu et un seul pour l'ensemble de ses contrats dans l'entreprise. En cas d'obtention de plusieurs NTT, l'employeur doit utiliser pour ses déclarations le NTT le plus ancien en cours de validité.
En l'absence de NIR ou de NIA, il est obligatoire de remplir la rubrique  Numéro technique temporaire (S21.G00.30.020).
Le NTT doit être renseigné sur la première DSN où le NIR est attribué. Ceci permettra de faire le lien entre les deux identités déclarées par l'employeur.",Individu.NTT
S21.G00.30 - Individu,S21.G00.30.022,Statut à l'étranger au sens fiscal,Enumeration,2-2,Conditionnel,DSN_Statut_Etranger,Le travailleur frontalier est une personne qui exerce une activité dans une zone frontalière au sens des conventions fiscales.,Individu.StatutEtranger
S21.G00.30 - Individu,S21.G00.30.023,Cumul emploi retraite,Enumeration,2-2,Conditionnel,DSN_Nouvelle_Embauche,"Rubrique à renseigner dans chaque DSN mensuelle pour un salarié en situation de
cumul emploi retraite. Le cas contraire (non cumul emploi retraite), cette rubrique peut : 
- soit être déclarée chaque mois et alimentée de la valeur ""01 - Non""
- soit ne pas être déclarée",Individu.CumulEmploiRetraite
S21.G00.30 - Individu,S21.G00.30.024,Niveau de formation le plus élevé obtenu par l'individu,Enumeration,2-2,Conditionnel,DSN_NiveauFormationPlusEleveIndividu,Le niveau de formation le plus élevé obtenu par l'individu doit être renseigné dans le cadre du bénéfice des aides au poste en entreprise adaptée ou en structure d'insertion par l'activité économique. Le niveau de formation est défini par le décret n° 2019-14 du 8 janvier 2019 relatif au cadre national des certifications professionnelles.,Individu.NiveauFormationPlusEleveIndividu
S21.G00.30 - Individu,S21.G00.30.025,Niveau de diplôme préparé par l'individu,Enumeration,2-2,Conditionnel,NiveauDiplomePrepare,Niveau de diplôme suivi par l'individu en contrat d'apprentissage tel que défini par le décret n° 2019-14 du 8 janvier 2019 relatif au cadre national des certifications professionnelles.,Individu.NiveauDiplomePrepare
S21.G00.30 - Individu,S21.G00.30.029,Libellé du pays de naissance,Alphanumeric,1-30,Conditionnel,,Cette rubrique est à renseigner avec le libellé du pays de naissance pour un individu né à l’étranger. ,Individu.LibellePaysNaiss
S21.G00.31 - Changements Individu,S21.G00.31.001,Date de la modification,Date,8-8,Oui,,La date de modification correspond à la date de survenance du changement de caractéristique du salarié.,ChangementsIndividu.DateModification
S21.G00.31 - Changements Individu,S21.G00.31.008,Ancien NIR,Alphanumeric,13-13,Conditionnel,,"Le numéro d'inscription au répertoire (NIR) est l'identifiant unique et invariable des individus inscrits au répertoire national d'identification des personnes physiques (RNIPP). Ce numéro correspond au numéro de sécurité sociale.
Ce numéro est composé de 13 chiffres et d'une clé de 2 chiffres. La clé n'est pas à déclarer dans cette rubrique.
Cette rubrique permet la déclaration du NIA (numéro d'immatriculation d'attente attribué par les organismes de protection sociale). Le NIA est constitué comme un NIR dans l'attente d'être certifié (circulaire DSS/sd4c N° 2012-213 du 1er juin 2012).
Le Nir doit avoir la forme SAAMMDDCCCNNN avec :
S = sexe de la personne physique doit être égal à 1 ou 2
AA = année de naissance de la personne physique doit être comprise entre 00 et 99
MM = mois de naissance de la personne physique doit être compris entre 01 et 12 ou entre 30 et 42 ou entre 50 et 99 ou égal à 20
DD = département de naissance de la personne physique doit être compris entre 01 et 99 ou être égal à 2A ou 2B
CCC = commune de naissance de la personne physique doit être comprise entre 001 et 999
NNN = numéro d'inscription la personne physique au registre d'état civil doit être compris entre 001 et 999
Si l'immatriculation est provisoire, ne pas utiliser les numéros provisoires reconnaissables par leur premier caractère égal à 7 ou 8, mais utiliser le NIA qui a été notifié.
En l'absence de NIR ou de NIA, il est obligatoire de remplir la rubrique Numéro technique temporaire (S21.G00.30.020).",ChangementsIndividu.Identifiant
S21.G00.31 - Changements Individu,S21.G00.31.009,Ancien nom de famille,Alphanumeric,1-80,Conditionnel,,"Le nom de famille est le nom défini pour chaque individu dans les jours qui suivent sa naissance. Il est usuellement défini sur la base de la filiation avec l’un ou l’autre parent, voire les deux. Il peut être défini par disposition administrative ou judiciaire.",ChangementsIndividu.NomFamille
S21.G00.31 - Changements Individu,S21.G00.31.010,Anciens prénoms,Alphanumeric,1-80,Conditionnel,,Elément d'identification joint au nom de famille qui permet de distinguer les personnes d'une même famille.,ChangementsIndividu.Prenoms
S21.G00.31 - Changements Individu,S21.G00.31.011,Ancienne date de naissance,Alphanumeric,8-8,Conditionnel,,"Instant où une personne naît, tel qu'enregistré à l'état civil.
Renseigner la date de naissance du salarié sous la forme JJMMAAAA. 
- L'année de naissance est obligatoire :
- Jour de naissance inconnu : 99MMAAAA,
- Mois de naissance Inconnu : JJ99AAAA,
- Si jour et mois inconnus : 9999AAAA.",ChangementsIndividu.DateNaissance
S21.G00.34 - Compte Professionnel de Prévention (Ex-Pénibilité),S21.G00.34.001,Facteur d'exposition,Enumeration,2-2,Oui,DSN_Penibilite_Facteur_Exposition,,Penibilite.FacteurExposition
S21.G00.34 - Compte Professionnel de Prévention (Ex-Pénibilité),S21.G00.34.002,Numéro du contrat,Alphanumeric,5-20,Oui,,Identifiant unique du contrat de travail auquel sont rattachés le ou les facteurs de risques professionnels.,Penibilite.NumeroContrat
S21.G00.34 - Compte Professionnel de Prévention (Ex-Pénibilité),S21.G00.34.003,Année de rattachement,Numeric,4-4,Oui,,"Année au titre de laquelle le bloc ""Compte Professionnel de Prévention (Ex-Pénibilité) - S21.G00.34"" est souscrit.",Penibilite.AnneeRattachement
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.001,Date de début du contrat,Date,8-8,Oui,,"Représente la date du premier jour d’applicabilité du contrat.
Il s'agit d'une donnée identifiante du contrat de travail.",Contrat.DateDebut
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.002,Statut du salarié (conventionnel),Enumeration,2-2,Oui,CCN_Categorie,Le statut détermine les conditions d’emploi et de travail d’un ou plusieurs salariés d’une entreprise. Le classement s’entend au sens de la convention collective applicable dans l’entreprise. Il correspond aux grandes catégories socio-professionnelles auxquelles chaque salarié appartient.,Contrat.StatutConventionnel
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.003,Code statut catégoriel Retraite Complémentaire obligatoire,Enumeration,2-2,Oui,AA_Categorie,Le statut catégoriel Retraite complémentaire définit le positionnement du salarié au vu des réglementations des régimes de retraite complémentaires des salariés et des ingénieurs et cadres.,Contrat.StatutRC
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.004,Code profession et catégorie socioprofessionnelle (PCS-ESE),ExternalReferential,4-4,Oui,,"La PCS-ESE définit la liste des postes (intitulés et professions concernées). 
Le code est composé de 3 chiffres :
- les groupes socioprofessionnels 
- les catégories socioprofessionnelles 
- les professions 

Attention : pour certaines catégories professionnelles (aéronautique civile, journalistes, intermittents du spectacle et autres), il est nécessaire d'apporter une précision sur la profession du salarié en utilisant les codes complémentaires indiqués dans la rubrique complément PCS-ESE ci-après.",Contrat.PcsEse
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.005,"Code complément PCS-ESE (pour la fonction publique : référentiels NEH, NET et grade de la NNE)",ExternalReferential,2-6,Conditionnel,,"Ce code permet d'apporter une précision nécessaire sur la profession de salariés de certaines catégories professionnelles (aéronautique civile, journalistes...). 
Attributs métier complémentaires non détaillés dans la PCS-ESE.
Pour le salarié relevant de la Caisse de Retraite du Personnel Navigant Professionnel de l'Aéronautique Civile il est nécessaire de préciser pour la catégorie des officiers, navigants techniques et cadres navigants commerciaux de l'aéronautique civile (Code PCS-ESE = 389b), les codes compléments PCS-ESE suivants :
- C389M pour les cadres navigants commerciaux cotisant à un taux majoré
- C389N pour les cadres navigants commerciaux cotisant à un taux normal
- T389M pour les navigants techniques cotisant à un taux majoré
- T389N pour les navigants techniques cotisant à un taux normal
Pour les hôtesses et stewards, (Code PCS-ESE = 546d) alors il convient de renseigner les valeurs suivantes en code complément PCS-ESE :
- 546dM pour les hôtesses ou stewards cotisant à un taux majoré
- 546dN pour les hôtesses ou stewards cotisant à un taux normal
Pour les journalistes (Code PCS-ESE = 352a) il est nécessaire de distinguer avec un code complément PCS-ESE les journalistes professionnels (avec carte de presse) code complément PCS-ESE = P352, des journalistes non professionnels (sans carte de presse) avec un code complément  PCS-ESE= NP352.
Les représentants exclusifs ou multicartes, cadets de golf doivent être signalés dans cette rubrique.
Pour les chauffeurs livreurs, coursiers il est nécessaire de préciser le code PCS-ESE par C643 pour les coursiers ou L643 pour les chauffeurs livreurs.
Pour les individus affiliés à la CPRPF, il est nécessaire de renseigner un emploi-type faisant partie d'une des valeurs de la liste extraite du référentiel des emplois commun à toutes les entreprises de l'UTP (Union des Transports Publics et ferroviaires) et intégrée dans la table CCP - Code Complément PCS-ESE.​
La table NEH détermine la structure hiérarchique des emplois relevant de la fonction publique hospitalière. Les établissements sanitaires, sociaux et médico-sociaux publics relevant de l'IRCANTEC doivent utiliser les codes de la table NEH pour définir le statut d'emploi de leur personnel médical hospitalier. Cette table est disponible sur le site http://www.net-entreprises.fr.
Dans cette rubrique, la table NNE permet de déterminer le grade des fonctionnaires de l’Etat ou des agents occupant au sein de l’Etat un emploi fonctionnel. Aucun code présent dans cette table n’est à renseigner pour les autres agents de la Fonction publique (exemple : agents contractuels).
Pour l'ensemble des professions du spectacle, il est nécessaire de compléter le code complément PCS-ESE par le code détaillé des professions du spectacle. La table de nomenclature des emplois du spectacle est disponible sur le site http://www.net-entreprises.fr.
Rappel énumération
06 - représentant exclusif
07 - représentant multicarte
08 - autre représentant
09 - Vendeur à domicile indépendant (VDI)
37 - cadet de golf
38 - agent immobilier rémunéré à la commission
39 - maîtres et documentalistes de l'enseignement privé
40 - colporteurs de presse
49 - dockers avec carte G
50 - mannequin
51 - artiste de corrida
52 - chauffeur de taxi locataire de son véhicule
53 - interprète de conférence
C643 - coursier
L643 - chauffeurs livreurs
NP352 - journaliste non professionnel (sans carte de presse)
P352 - journaliste professionnel (avec carte de presse)
C389M - cadres navigants commerciaux taux majoré
C389N - cadres navigants commerciaux taux normal
T389M - navigants techniques taux majoré 
T389N - navigants techniques taux normal
546dM - hôtesses ou stewards taux majoré
546dN - hôtesses ou stewards taux normal
S001 - Sportif professionnel dont le contrat de travail relève des articles L. 222-2-3 et suivants du code du sport
AGTCDT - Agent de conduite
Pour les agents relevant de la Fonction publique de l’Etat, la nomenclature NNE répertorie les grades et emplois ; tous les emplois n’ont pas nécessairement de code NNE correspondant. Renseigner ici les six premiers caractères (Corps-Grade) de la nomenclature NNE ; les 4 derniers caractères du code NNE déterminant l’emploi doivent être renseignés au niveau de la rubrique « [FP] Code complément PCS-ESE pour la fonction publique d'Etat (emploi de la NNE) - S21.G00.40.052 ».


La table CMET est utilisée pour les individus relevant d'une entreprise adhérente à une caisse CIBTP.",Contrat.ComplementPcsEse
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.006,Libellé de l'emploi,Alphanumeric,1-120,Oui,,Termes précisant la fonction du salarié au sein de l’entreprise.,Contrat.LibelleEmploi
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.007,Nature du contrat,Enumeration,2-2,Oui,DSN_NatureContrat,"Nature du lien entre l’employeur et l’individu.
Le terme « contrat » est à comprendre de manière large car il recouvre des concepts plus étendus que le seul contrat de travail (conventions, mandat…).
Pour les intérimaires en contrat de professionnalisation, la nature de contrat (S21.G00.40.007) doit être déclarée à « 03 - Contrat de mission (contrat de travail temporaire) » ou « 08 - Contrat à durée indéterminée intérimaire », le code APET (S21.G00.11.002) correspondant à une entreprise de travail temporaire (7810Z ou 7820Z) et la partie SIREN de l’identifiant du lieu de travail (S21.G00.40.019) différent du SIREN de l’employeur (S21.G00.06.001).",Contrat.Nature
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.008,Dispositif de politique publique et conventionnel,Enumeration,2-2,Oui,DSN_Dispos_PubEmpFormPro_2,"Dispositif d’aide, d’incitation ou de politique publique d’emploi ou de formation professionnelle ou de tout autre dispositif conventionnel visant à instaurer des formes particulières de contrat. Ces dispositifs se rapportent obligatoirement à une nature de contrat.

NB : pour les contrats « Emploi d’avenir secteur non marchand » et « Emploi d’avenir secteur marchand »,  les valeurs « CUI-CAE » ou « CUI-CIE » ne sont pas appropriées. Même si les contrats « Emploi d’avenir » sont conclus dans le cadre d’un CUI-CIE ou d’un CUI-CAE, c’est bien la valeur « Emploi d’avenir » qui doit être renseignée.",Contrat.DispositifPolitique
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.009,Numéro du contrat,Alphanumeric,5-20,Oui,,"Le numéro de contrat est un des identifiants du contrat.
Le numéro d'un contrat de mission doit rester le même que celui déclaré via les DMM/RMM.",Contrat.Numero
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.010,Date de fin prévisionnelle du contrat,Date,8-8,Conditionnel,,Dernier jour d'applicabilité prévisionnelle de fin du contrat (généralement indiquée sur le contrat).,Contrat.DateFinPrevisionnelle
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.011,Unité de mesure de la quotité de travail,Enumeration,2-2,Oui,DSN_TypeUniteMesure,Unité d'expression du volume de l'activité ou de l'inactivité dans le contrat.,Contrat.UniteMesure
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.012,Quotité de travail de référence de l'entreprise pour la catégorie de salarié,Numeric,4-7,Oui,,"Valeur exprimant la durée de travail applicable pour la catégorie de salariés dans l’entreprise. Cette valeur doit être définie selon les règles applicables à la catégorie de salarié.
Pour les salariés en contrat de mission, il convient de renseigner la valeur correspondant à un temps plein en fonction de la rubrique « Quotité de travail du contrat - S21.G00.40.013 ».",Contrat.QuotiteCategorie
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.013,Quotité de travail du contrat,Numeric,4-7,Oui,,Valeur exprimant la durée contractuelle de travail applicable au salarié.,Contrat.Quotite
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.014,Modalité d'exercice du temps de travail,Enumeration,2-2,Oui,Travail_Modalite,"Valeur exprimant le fait que le salarié travaille à temps plein ou partiel.
ATTENTION : Sauf rares exceptions, comme les contrats de nature (S21.G00.40.007) ""03 - Contrat de mission (contrat de travail temporaire)"" ou relatifs aux personnels médicaux hospitaliers par exemple, pour un même employeur et un même salarié ne peuvent être transmis plusieurs contrats dont les périodes d'applicabilité se chevauchent et dont la modalité d'exercice du temps de travail d'au moins un de ces contrats est '10 - temps plein'.

La valeur ""42 - Temps partiel de droit pour enfant"" est applicable pour les agents de la fonction publique,  de la SNCF et les salariés des IEG.
Les valeurs ""40 - CPA 2004"" et ""41 - Temps partiel de droit"" ne sont applicables qu'aux agents de la fonction publique et de la SNCF.",Contrat.ModaliteTemps
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.016,Complément de base au régime obligatoire,Enumeration,2-2,Oui,ROB_Extension,"Extension au régime de base, assuré par un régime obligatoire de Sécurité sociale (régime local alsace moselle / complémentaire Camieg).",Contrat.ComplementBase
"S21.G00.40 - Contrat (contrat de travail, convention, mandat)",S21.G00.40.017,Code convention collective applicable,ExternalReferential,4-4,Oui,,"Convention conclue entre un employeur ou un groupement d'employeurs et un ou plusieurs syndicats représentatifs de salariés en vue de déterminer les conditions de travail et de rémunération qui s'imposeront aux employeurs adhérant au groupement, envers le personnel.
Toutes les entreprises sont désormais tenues d'utiliser ce nouvel Identifiant Des Conventions Collectives (IDCC) pour tous les types de DSN admis.
Ce code, géré par le Ministère chargé du travail, peut être obtenu sur le site http://www.net-entreprises.fr. Si un salarié n'est couvert par aucune convention ou statut, il convient de l'indiquer par le code 9999 'sans convention collective'.
Pour les ouvriers ou techniciens de l'édition d'enregistrement sonore, de la production cinématographique et audiovisuelle, de la radio, de la diffusion et du spectacle, engagés à titre temporaire, il s'agit de la convention collective applicable à la prestation de travail exercée par l'individu.",Contrat.Ccn
