code;libellé;25/09/2024
HCY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HCY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HCY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HCY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HEB1;Biologiste, vétérinaire et pharmacien de classe normale
HEB2;Biologiste, vétérinaire et pharmacien hors classe
HEB3;Biologiste, vétérinaire et pharmacien de classe exceptionnelle
HEM1;Masseur-kinésithérapeute et orthophoniste
HEM2;F.P.H. / Masseur-kinésithérapeute, psychomotricien et orthophoniste de classe supérieure
HEM3;Masseur-kinésithérapeute et orthophoniste hors classe
HEP1;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens
HEP2;F.P.H. / Pédicure-podologue, ergothérapeute, orthophoniste et manipulateur d'électroradiologie médicale de classe supérieure
HEP3;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens hors classe
HET1;Technicien paramédical de classe normale
HET2;Technicien paramédical de classe supérieure
HEX1;Titulaire sur emploi spécifique, catégorie C
HEX2;Titulaire sur emploi spécifique, catégorie B
HEX3;Titulaire sur emploi spécifique, catégorie A
HEX4;Titulaire sur emploi spécifique, catégorie A+
HEY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HEY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HEY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HEY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HHC1;Collaborateur de cabinet
HHW1;Fonctionnaires ou non titulaires non classables dans une filière
HMA1;F.P.H. / Educateur de jeunes enfants
HMA2;F.P.H. / Educateur principal de jeunes enfants
HMB1;Moniteur-Educateur et intervenant familial
HMB2;Moniteur-Educateur et intervenant familial principal
HMD1;F.P.H. / Agent spécialisé de 1ère classe des écoles maternelles
HMD2;Agent spécialisé principal de 2ème classe des écoles maternelles
HMD3;Agent spécialisé principal de 1ère classe des écoles maternelles
HME1;Educateur de jeunes enfants
HME2;F.P.H. / Educateur de jeunes enfants de 1ère classe
HME3;Educateur de jeunes enfants de classe exceptionnelle
HMH1;F.P.H. / Assistant socio-éducatif
HMH2;F.P.H. / Assistant socio-éducatif principal
HMM1;Conseiller socio-éducatif
HMM2;Conseiller supérieur socio-éducatif
HMM3;Conseiller hors classe socio-éducatif
HMP1;Agent social
HMP2;F.P.H. / Agent social de 1ère classe
HMP3;Agent social principal de 2ème classe
HMP4;Agent social principal de 1ère classe
HMT1;F.P.H. / Assistant socio-éducatif de 2nde classe
HMT2;Assistant socio-éducatif
HMT3;Assistant socio-éducatif de classe exceptionnelle
HMX1;Titulaire sur emploi spécifique, catégorie C
HMX2;Titulaire sur emploi spécifique, catégorie B
HMX3;Titulaire sur emploi spécifique, catégorie A
HMX4;Titulaire sur emploi spécifique, catégorie A+
HMY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HMY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HMY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HMY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HNJ1;Adjoint territorial d'animation
HNJ2;F.P.H. / Adjoint territorial d'animation de 1ère classe
HNJ3;Adjoint territorial d'animation principal de 2ème classe
HNJ4;Adjoint territorial d'animation principal de 1ère classe
HNN1;Animateur
HNN2;Animateur principal de 2ème classe
HNN3;Animateur principal de 1ère classe
HNX1;Titulaire sur emploi spécifique, catégorie C
HNX2;Titulaire sur emploi spécifique, catégorie B
HNX3;Titulaire sur emploi spécifique, catégorie A
HNX4;Titulaire sur emploi spécifique, catégorie A+
HNY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HNY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HNY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HNY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HOA1;Cadre de santé
HOB1;Infirmier en soins généraux
HOB2;F.P.H. / Infirmier en soins généraux de classe supérieure
HOB3;Infirmier en soins généraux hors classe
HOC1;Puéricultrice cadre de santé
HOC2;Puéricultrice cadre supérieur de santé
HOD1;Médecin de 2ème classe
HOD2;Médecin de 1ère classe
HOD3;Médecin hors classe
HOF1;Sage-femme de classe normale
HOF2;F.P.H. / Sage-femme de classe supérieure
HOF3;Sage-femme hors classe
HOG1;Cadre de santé
HOG2;F.P.H. / Cadre de santé de 1ère classe
HOG3;Cadre supérieur de santé
HOH1;Psychologue de classe normale
HOH2;Psychologue hors classe
HOJ1;F.P.H. / Auxiliaire de puériculture de 1ère classe
HOJ2;F.P.H. / Auxiliaire de puériculture principal de 2ème classe
HOJ3;F.P.H. / Auxiliaire de puériculture principal de 1ère classe
HOK1;F.P.H. / Auxiliaire de soins de 1ère classe
HOK2;Auxiliaire de soins principal de 2ème classe
HOK3;Auxiliaire de soins principal de 1ère classe
HON1;Infirmier de classe normale
HON2;Infirmier de classe supérieure
HOP1;Puéricultrice de classe normale
HOP2;Puéricultrice de classe supérieur
HOR1;Auxiliaire de puériculture de classe normale
HOR2;Auxiliaire de puériculture de classe supérieure
HOS1;Aide-soignant de classe normale
HOS2;Aide-soignant de classe supérieure
HOU1;Puéricultrice
HOU2;F.P.H. / Puéricultrice de classe supérieure
HOU3;Puéricultrice hors classe
HOX1;Titulaire sur emploi spécifique, catégorie C
HOX2;Titulaire sur emploi spécifique, catégorie B
HOX3;Titulaire sur emploi spécifique, catégorie A
HOX4;Titulaire sur emploi spécifique, catégorie A+
HOY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HOY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HOY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HOY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HPC1;Chef de service de police municipale
HPC2;Chef de service de police municipale principal de 2ème classe
HPC3;Chef de service de police municipale principal de 1ère classe
HPG1;Gardien-brigadier
HPG2;F.P.H. / Brigadier
HPG3;Brigadier-chef principal
HPG4;Chef de police municipale
HPH1;F.P.H. / Garde-champêtre principal
HPH2;Garde-champêtre chef
HPH3;Garde-champêtre chef principal
HPU1;Directeur de police municipal
HPU2;Directeur principal de police municipal
HPX1;Titulaire sur emploi spécifique, catégorie C
HPX2;Titulaire sur emploi spécifique, catégorie B
HPX3;Titulaire sur emploi spécifique, catégorie A
HPX4;Titulaire sur emploi spécifique, catégorie A+
HPY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HPY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HPY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HPY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HRA1;F.P.H. / Infirmier d'encadrement de sapeurs pompiers professionnels
HRB1;Directeur adjoint départemental des SDIS
HRB2;Directeur départemental des SDIS
HRC1;Capitaine
HRC2;Commandant
HRC3;Lieutenant-colonel
HRC4;F.P.H. / Colonel
HRD1;F.P.H. / Médecin et pharmacien de 2ème classe
HRD2;Médecin et pharmacien de classe normale
HRD3;Médecin et pharmacien hors classe
HRD4;Médecin et pharmacien de classe exceptionnel
HRF1;Cadre de santé des SPP
HRF2;F.P.H. / Cadre de santé de sapeur- pompiers professionnels de 1ere classe
HRF3;Cadre supérieur de santé des SPP
HRG1;Infirmiers
HRG2;F.P.H. / Infirmier de classe supérieure
HRG3;Infirmiers hors classe
HRH1;Colonel
HRH2;Colonel hors classe
HRH3;Contrôleur général
HRL1;Lieutenant de 2ème classe
HRL2;Lieutenant de 1ère classe
HRL3;Lieutenant hors classe
HRN1;F.P.H. / Infirmier
HRN2;F.P.H. / Infirmier principal
HRN3;F.P.H. / Infirmier-chef
HRS1;Sergent
HRS2;Adjudant
HRU1;F.P.H. / Sapeur de 2e classe
HRU2;Sapeur
HRU3;Caporal
HRU4;Caporal-chef
HRX1;Titulaire sur emploi spécifique, catégorie C
HRX2;Titulaire sur emploi spécifique, catégorie B
HRX3;Titulaire sur emploi spécifique, catégorie A
HRX4;Titulaire sur emploi spécifique, catégorie A+
HRY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HRY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HRY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HRY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HSC1;Conseiller
HSC2;Conseiller principal
HSC3;F.P.H. / Conseiller principal de 1ère classe
HSE1;Educateur
HSE2;Educateur principal de 2ème classe
HSE3;Educateur principal de 1ère classe
HSP1;F.P.H. / Aide-opérateur
HSP2;Opérateur
HSP3;Opérateur qualifié
HSP4;Opérateur principal
HSX1;Titulaire sur emploi spécifique, catégorie C
HSX2;Titulaire sur emploi spécifique, catégorie B
HSX3;Titulaire sur emploi spécifique, catégorie A
HSX4;Titulaire sur emploi spécifique, catégorie A+
HSY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HSY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HSY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HSY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
HTA1;F.P.H. / Adjoint technique de 2ème classe
HTA2;Adjoint technique
HTA3;Adjoint technique principal de 2ème classe
HTA4;Adjoint technique principal de 1ère classe
HTG1;F.P.H. / Ingénieur
HTG2;F.P.H. / Ingénieur principal
HTG3;F.P.H. / Ingénieur en chef de classe normale
HTG4;F.P.H. / Ingénieur en chef de classe exceptionnelle
HTH1;Adjoint technique
HTH2;F.P.H. / Adjoint technique de 1ère classe
HTH3;Adjoint technique principal de 2ème classe
HTH4;Adjoint technique principal de 1ère classe
HTM1;Agent de maîtrise
HTM2;Agent de maîtrise principal
HTN1;Ingénieur en chef
HTN2;Ingénieur en chef hors classe
HTN3;Ingénieur général
HTP1;Ingénieur
HTP2;Ingénieur principal
HTP3;Ingénieur hors classe
HTT1;Technicien
HTT2;Technicien principal de 2ème classe
HTT3;Technicien principal de 1ère classe
HTU1;Directeur des services techniques
HTU2;Directeur général des services techniques
HTX1;Titulaire sur emploi spécifique, catégorie C
HTX2;Titulaire sur emploi spécifique, catégorie B
HTX3;Titulaire sur emploi spécifique, catégorie A
HTX4;Titulaire sur emploi spécifique, catégorie A+
HTY1;Titulaire à temps non complet de moins de 17h30, catégorie C
HTY2;Titulaire à temps non complet de moins de 17h30, catégorie B
HTY3;Titulaire à temps non complet de moins de 17h30, catégorie A
HTY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MAD1;Administrateur
MAD2;Administrateur hors classe
MAD3;Administrateur général
MAJ1;Adjoint administratif
MAJ2;F.M.A. / Adjoint administratif de 1ère classe
MAJ3;Adjoint administratif principal de 2ème classe
MAJ4;Adjoint administratif principal de 1ère classe
MAR1;Rédacteur
MAR2;Rédacteur principal de 2ème classe
MAR3;Rédacteur principal de 1ère classe
MAS1;Secrétaire de mairie
MAT1;Attaché
MAT2;Attaché principal
MAT3;Directeur territorial
MAT4;Attaché hors classe
MAU1;Directeur général adjoint des services ou directeur adjoint
MAU2;Directeur général des services ou directeur
MAX1;Titulaire sur emploi spécifique, catégorie C
MAX2;Titulaire sur emploi spécifique, catégorie B
MAX3;Titulaire sur emploi spécifique, catégorie A
MAX4;Titulaire sur emploi spécifique, catégorie A+
MAY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MAY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MAY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MAY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MCA1;Attaché de conservation du patrimoine
MCA2;Attaché principal de conservation du patrimoine
MCB1;Bibliothécaire
MCB2;Bibliothécaire principal
MCD1;Directeur d'établissement d'enseignement artistique de 2ème catégorie
MCD2;Directeur d'établissement d'enseignement artistique de 1ère catégorie
MCG1;Assistant de conservation
MCG2;Assistant de conservation principal de 2ème classe
MCG3;Assistant de conservation principal de 1ère classe
MCH1;Conservateur
MCH2;Conservateur en chef
MCJ1;Adjoint territorial du patrimoine
MCJ2;F.M.A. / Adjoint territorial du patrimoine de 1ère classe
MCJ3;Adjoint territorial du patrimoine principal de 2ème classe
MCJ4;Adjoint territorial du patrimoine principal de 1ère classe
MCM2;Conservateur
MCM3;Conservateur en chef
MCP1;Professeur d'enseignement artistique de classe normale
MCP2;Professeur d'enseignement artistique hors classe
MCS1;Assistant d'enseignement artistique
MCS2;Assistant d'enseignement artistique principal de 2ème classe
MCS3;Assistant d'enseignement artistique principal de 1ère classe
MCX1;Titulaire sur emploi spécifique, catégorie C
MCX2;Titulaire sur emploi spécifique, catégorie B
MCX3;Titulaire sur emploi spécifique, catégorie A
MCX4;Titulaire sur emploi spécifique, catégorie A+
MCY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MCY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MCY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MCY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MEB1;Biologiste, vétérinaire et pharmacien de classe normale
MEB2;Biologiste, vétérinaire et pharmacien hors classe
MEB3;Biologiste, vétérinaire et pharmacien de classe exceptionnelle
MEM1;Masseur-kinésithérapeute et orthophoniste
MEM2;F.M.A. / Masseur-kinésithérapeute, psychomotricien et orthophoniste de classe supérieure
MEM3;Masseur-kinésithérapeute et orthophoniste hors classe
MEP1;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens
MEP2;F.M.A. / Pédicure-podologue, ergothérapeute, orthophoniste et manipulateur d'électroradiologie médicale de classe supérieure
MEP3;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens hors classe
MET1;Technicien paramédical de classe normale
MET2;Technicien paramédical de classe supérieure
MEX1;Titulaire sur emploi spécifique, catégorie C
MEX2;Titulaire sur emploi spécifique, catégorie B
MEX3;Titulaire sur emploi spécifique, catégorie A
MEX4;Titulaire sur emploi spécifique, catégorie A+
MEY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MEY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MEY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MEY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MHC1;Collaborateur de cabinet
MHW1;Fonctionnaires ou non titulaires non classables dans une filière
MMA1;F.M.A. / Educateur de jeunes enfants
MMA2;F.M.A. / Educateur principal de jeunes enfants
MMB1;Moniteur-Educateur et intervenant familial
MMB2;Moniteur-Educateur et intervenant familial principal
MMD1;F.M.A. / Agent spécialisé de 1ère classe des écoles maternelles
MMD2;Agent spécialisé principal de 2ème classe des écoles maternelles
MMD3;Agent spécialisé principal de 1ère classe des écoles maternelles
MME1;Educateur de jeunes enfants
MME3;Educateur de jeunes enfants de classe exceptionnelle
MMH1;F.M.A. / Assistant socio-éducatif
MMH2;F.M.A. / Assistant socio-éducatif principal
MMM1;Conseiller socio-éducatif
MMM2;Conseiller supérieur socio-éducatif
MMM3;Conseiller hors classe socio-éducatif
MMP1;Agent social
MMP2;F.M.A. / Agent social de 1ère classe
MMP3;Agent social principal de 2ème classe
MMP4;Agent social principal de 1ère classe
MMT1;F.M.A. / Assistant socio-éducatif de 2nde classe
MMT2;Assistant socio-éducatif
MMT3;Assistant socio-éducatif de classe exceptionnelle
MMX1;Titulaire sur emploi spécifique, catégorie C
MMX2;Titulaire sur emploi spécifique, catégorie B
MMX3;Titulaire sur emploi spécifique, catégorie A
MMX4;Titulaire sur emploi spécifique, catégorie A+
MMY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MMY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MMY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MMY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MNJ1;Adjoint territorial d'animation
MNJ2;F.M.A. / Adjoint territorial d'animation de 1ère classe
MNJ3;Adjoint territorial d'animation principal de 2ème classe
MNJ4;Adjoint territorial d'animation principal de 1ère classe
MNN1;Animateur
MNN2;Animateur principal de 2ème classe
MNN3;Animateur principal de 1ère classe
MNX1;Titulaire sur emploi spécifique, catégorie C
MNX2;Titulaire sur emploi spécifique, catégorie B
MNX3;Titulaire sur emploi spécifique, catégorie A
MNX4;Titulaire sur emploi spécifique, catégorie A+
MNY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MNY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MNY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MNY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MOA1;Cadre de santé
MOB1;Infirmier en soins généraux
MOB2;F.M.A. / Infirmier en soins généraux de classe supérieure
MOB3;Infirmier en soins généraux hors classe
MOC1;Puéricultrice cadre de santé
MOC2;Puéricultrice cadre supérieur de santé
MOD1;Médecin de 2ème classe
MOD2;Médecin de 1ère classe
MOD3;Médecin hors classe
MOF1;Sage-femme de classe normale
MOF2;F.M.A. / Sage-femme de classe supérieure
MOF3;Sage-femme hors classe
MOG1;Cadre de santé
MOG2;F.M.A. / Cadre de santé de 1ère classe
MOG3;Cadre supérieur de santé
MOH1;Psychologue de classe normale
MOH2;Psychologue hors classe
MOJ1;F.M.A. / Auxiliaire de puériculture de 1ère classe
MOJ2;F.M.A. / Auxiliaire de puériculture principal de 2ème classe
MOJ3;F.M.A. / Auxiliaire de puériculture principal de 1ère classe
MOK1;F.M.A. / Auxiliaire de soins de 1ère classe
MOK2;Auxiliaire de soins principal de 2ème classe
MOK3;Auxiliaire de soins principal de 1ère classe
MON1;Infirmier de classe normale
MON2;Infirmier de classe supérieure
MOP1;Puéricultrice de classe normale
MOP2;Puéricultrice de classe supérieur
MOR1;Auxiliaire de puériculture de classe normale
MOR2;Auxiliaire de puériculture de classe supérieure
MOS1;Aide-soignant de classe normale
MOS2;Aide-soignant de classe supérieure
MOU1;Puéricultrice
MOU2;F.M.A. / Puéricultrice de classe supérieure
MOU3;Puéricultrice hors classe
MOX1;Titulaire sur emploi spécifique, catégorie C
MOX2;Titulaire sur emploi spécifique, catégorie B
MOX3;Titulaire sur emploi spécifique, catégorie A
MOX4;Titulaire sur emploi spécifique, catégorie A+
MOY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MOY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MOY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MOY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MPC1;Chef de service de police municipale
MPC2;Chef de service de police municipale principal de 2ème classe
MPC3;Chef de service de police municipale principal de 1ère classe
MPG1;Gardien-brigadier
MPG2;F.M.A. / Brigadier
MPG3;Brigadier-chef principal
MPG4;Chef de police municipale
MPH1;F.M.A. / Garde-champêtre principal
MPH2;Garde-champêtre chef
MPH3;Garde-champêtre chef principal
MPU1;Directeur de police municipal
MPU2;Directeur principal de police municipal
MPX1;Titulaire sur emploi spécifique, catégorie C
MPX2;Titulaire sur emploi spécifique, catégorie B
MPX3;Titulaire sur emploi spécifique, catégorie A
MPX4;Titulaire sur emploi spécifique, catégorie A+
MPY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MPY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MPY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MPY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MRA1;F.M.A. / Infirmier d'encadrement de sapeurs pompiers professionnels
MRB1;Directeur adjoint départemental des SDIS
MRB2;Directeur départemental des SDIS
MRC1;Capitaine
MRC2;Commandant
MRC3;Lieutenant-colonel
MRC4;F.M.A. / Colonel
MRD1;F.M.A. / Médecin et pharmacien de 2ème classe
MRD2;Médecin et pharmacien de classe normale
MRD3;Médecin et pharmacien hors classe
MRD4;Médecin et pharmacien de classe exceptionnel
MRF1;Cadre de santé des SPP
MRF2;F.M.A. / Cadre de santé de sapeur- pompiers professionnels de 1ere classe
MRF3;Cadre supérieur de santé des SPP
MRG1;Infirmiers
MRG2;F.M.A. / Infirmier de classe supérieure
MRG3;Infirmiers hors classe
MRH1;Colonel
MRH2;Colonel hors classe
MRH3;Contrôleur général
MRL1;Lieutenant de 2ème classe
MRL2;Lieutenant de 1ère classe
MRL3;Lieutenant hors classe
MRN1;F.M.A. / Infirmier
MRN2;F.M.A. / Infirmier principal
MRN3;F.M.A. / Infirmier-chef
MRS1;Sergent
MRS2;Adjudant
MRU1;F.M.A. / Sapeur de 2e classe
MRU2;Sapeur
MRU3;Caporal
MRU4;Caporal-chef
MRX1;Titulaire sur emploi spécifique, catégorie C
MRX2;Titulaire sur emploi spécifique, catégorie B
MRX3;Titulaire sur emploi spécifique, catégorie A
MRX4;Titulaire sur emploi spécifique, catégorie A+
MRY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MRY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MRY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MRY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MSC1;Conseiller
MSC2;Conseiller principal
MSC3;F.M.A. / Conseiller principal de 1ère classe
MSE1;Educateur
MSE2;Educateur principal de 2ème classe
MSE3;Educateur principal de 1ère classe
MSP1;F.M.A. / Aide-opérateur
MSP2;Opérateur
MSP3;Opérateur qualifié
MSP4;Opérateur principal
MSX1;Titulaire sur emploi spécifique, catégorie C
MSX2;Titulaire sur emploi spécifique, catégorie B
MSX3;Titulaire sur emploi spécifique, catégorie A
MSX4;Titulaire sur emploi spécifique, catégorie A+
MSY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MSY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MSY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MSY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
MTA1;F.M.A. / Adjoint technique de 2ème classe
MTA2;Adjoint technique
MTA3;Adjoint technique principal de 2ème classe
MTA4;Adjoint technique principal de 1ère classe
MTG1;F.M.A. / Ingénieur
MTG2;F.M.A. / Ingénieur principal
MTG3;F.M.A. / Ingénieur en chef de classe normale
MTG4;F.M.A. / Ingénieur en chef de classe exceptionnelle
MTH1;Adjoint technique
MTH2;F.M.A. / Adjoint technique de 1ère classe
MTH3;Adjoint technique principal de 2ème classe
MTH4;Adjoint technique principal de 1ère classe
MTM1;Agent de maîtrise
MTM2;Agent de maîtrise principal
MTN1;Ingénieur en chef
MTN2;Ingénieur en chef hors classe
MTN3;Ingénieur général
MTP1;Ingénieur
MTP2;Ingénieur principal
MTP3;Ingénieur hors classe
MTT1;Technicien
MTT2;Technicien principal de 2ème classe
MTT3;Technicien principal de 1ère classe
MTU1;Directeur des services techniques
MTU2;Directeur général des services techniques
MTX1;Titulaire sur emploi spécifique, catégorie C
MTX2;Titulaire sur emploi spécifique, catégorie B
MTX3;Titulaire sur emploi spécifique, catégorie A
MTX4;Titulaire sur emploi spécifique, catégorie A+
MTY1;Titulaire à temps non complet de moins de 17h30, catégorie C
MTY2;Titulaire à temps non complet de moins de 17h30, catégorie B
MTY3;Titulaire à temps non complet de moins de 17h30, catégorie A
MTY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
NAX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (administratif)
NAX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (administratif) non compris le contrat emploi d'avenir
NAX3;Agent sur contrat emploi d'avenir (administratif)
NAX4;Agent sur PACTE (administratif)
NAX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA)
NCX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (culturel)
NCX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (culturel) non compris le contrat emploi d'avenir
NCX3;Agent sur contrat emploi d'avenir (culturel)
NCX4;Agent sur PACTE (culturel)
NCX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (culturel)
NEX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (médico-technique)
NEX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (médico-technique) non compris le contrat emploi d'avenir
NEX3;Agent sur contrat emploi d'avenir (médico-technique)
NEX4;Agent sur PACTE (médico-technique)
NEX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (médico-technique)
NHX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (hors filière)
NHX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (hors filière) non compris le contrat emploi d'avenir
NHX3;Agent sur contrat emploi d'avenir (hors filière)
NHX4;Agent sur PACTE (hors filière)
NHX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (hors filière)
NMX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (social)
NMX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (sportif) non compris le contrat emploi d'avenir
NMX3;Agent sur contrat emploi d'avenir (sportif)
NMX4;Agent sur PACTE (sportif)
NMX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (sportif)
NNX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (animation)
NNX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (animation) non compris le contrat emploi d'avenir
NNX3;Agent sur contrat emploi d'avenir (animation)
NNX4;Agent sur PACTE (animation)
NNX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (animation)
NOX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (médico-social)
NOX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (médico-social) non compris le contrat emploi d'avenir
NOX3;Agent sur contrat emploi d'avenir (médico-social)
NOX4;Agent sur PACTE (médico-social)
NOX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (médico-social)
NPX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (sécurité)
NPX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (police municipale) non compris le contrat emploi d'avenir
NPX3;Agent sur contrat emploi d'avenir (police municipale)
NPX4;Agent sur PACTE (police municipale)
NPX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (police municipale)
NRX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (incendie-secours)
NRX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (incendie secours) non compris le contrat emploi d'avenir
NRX3;Agent sur contrat emploi d'avenir (incendie secours)
NRX4;Agent sur PACTE (incendie secours)
NRX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (incendie-secours)
NSX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (sportif)
NSX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (sportif) non compris le contrat emploi d'avenir
NSX3;Agent sur contrat emploi d'avenir (sportif)
NSX4;Agent sur PACTE (sportif)
NSX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (sportif)
NTX1;AUTRES / Agent sur contrat d'insertion dans la vie sociale CIVIS (technique)
NTX2;Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (technique) non compris le contrat emploi d'avenir
NTX3;Agent sur contrat emploi d'avenir (technique)
NTX4;Agent sur PACTE (technique)
